year,time,rank,song_title,artist,album
2010,1,1,우리 사랑하게 됐어요.,"가인, 조권",우리 사랑하게 됐어요
2010,1,2,처음처럼 그때처럼 (Feat. 강민경),이승기,Shadow (Repackage)
2010,1,3,그대라서,거미,크리스마스에 눈이 올까요? OST
2010,1,4,Bo Peep Bo Peep,티아라 (T-ara),Absolute First Album
2010,1,5,술 한잔 해요,지아 (Zia),Atelier
2010,1,6,너 때문에,애프터스쿨 (After School),너 때문에
2010,1,7,오늘 헤어졌어요,윤하,3rd Album Part B - Growing Season
2010,1,8,Love Story,쥬얼리 (Jewelry),End And.. (Repackage)
2010,1,9,넌 나를 왜 (Feat. 정엽),길미,The 2nd Purple Dream Sound
2010,1,10,처음처럼,티아라 (T-ara),Absolute First Album
2010,1,11,싸이렌 (Siren) (Feat. 미스터 타이푼),은지원,Platonic
2010,1,12,Tik Tok,Ke$ha,Animal + Cannibal (Deluxe Edition)
2010,1,13,돌아올순 없나요,디셈버 (December),아이리스 OST Part 5
2010,1,14,Heartbeat,2PM,1집 1:59PM
2010,1,15,그녀처럼,지아 (Zia),Atelier
2010,1,16,사랑합니다,"SG 워너비, V.O.S",사랑합니다
2010,1,17,160 (Feat. 이수근),은지원,Platonic
2010,1,18,사랑하면 안되나요,서인영,아이리스 OST Part 6
2010,1,19,3,Britney Spears,The Singles Collection
2010,1,20,Telephone (Feat. Beyonce),Lady GaGa,The Fame Monster
2010,1,21,꿈을 꾸다 (Main Ver.),김태우,아이리스 OST
2010,1,22,Honesty,Beyonce,I Am... Sasha Fierce (Platinum Edition)
2010,1,23,잊지 말아요,백지영,아이리스 OST
2010,1,24,마법의 성,MC 스나이퍼,Museum
2010,1,25,No Love No More,박진영,Sad Freedom
2010,1,26,"내 맘을 아냐고 (Feat. 김현중, 미스에스, U주)",MJ,슬픈노래..
2010,1,27,사랑 참...,디셈버 (December),Dear My Lover
2010,1,28,Mystery,비스트 (Beast),Beast Is The B2ST
2010,1,29,JoJo,샤이니 (SHINee),"2009, Year Of Us"
